"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480390__28439"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064345__26299"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983036__55218"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10403537__39187"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10818476__36479"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825380__45367"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10821635__39472"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064694__18440"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480387__11473"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10820466__66550"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480422__12372"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480390__18092"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10820585__3396"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983063__20719"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19065009__29063"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10837979__30429"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10823074__11615"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10818779__23453"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10822770__20315"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480391__3874"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064514__33938"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983081__50680"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10820685__10278"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480379__23141"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983029__46719"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480322__14247"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10403569__41758"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983068__31376"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064926__43084"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480317__29699"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480387__10655"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825168__18195"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480424__13437"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480346__27716"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983042__32380"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064885__1417"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983042__32449"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825588__1401"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825432__43669"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10821926__62910"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825380__1275"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064893__10420"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825384__43725"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480437__16895"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10837998__48908"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064837__15284"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Demerecviridae","SRR19064616__1721"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Demerecviridae","SRR19064483__28595"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","ERR10818576__57552"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","DRR480370__13937"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064493__12817"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064427__29166"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR10403550__22358"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064615__55262"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","DRR480322__27668"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR10403526__60752"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064595__49398"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064615__62770"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064826__28838"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Drexlerviridae","SRR19064401__47493"
"k__Heunggongvirae","p__Peloviricota","c__Herviviraetes","o__Herpesvirales","f__Herpesviridae","ERR10819075__17638"
"k__Heunggongvirae","p__Peloviricota","c__Herviviraetes","o__Herpesvirales","f__Herpesviridae","ERR10818779__16599"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR19064639__18950"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR19064880__35299"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR10983030__7893"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","ERR10825382__2182"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","ERR10821635__69124"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR10983052__51547"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR10983085__3730"
"k__Loebvirae","p__Hofneiviricota","c__Faserviricutes","o__Tubulavirales","f__Inoviridae","SRR10983053__44002"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480298__29141"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480440__21928"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064928__34684"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064766__10970"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983039__8645"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064764__41032"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064752__12748"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064544__34553"
