Source	Target	Correlation_CL	Correlation_PD	Avg_Correlation
s__Cupriavidus_taiwanensis	DRR480285__12620	0.293771959160244	0.287114768354471	0.290443363757358
s__Cupriavidus_pauculus	DRR480285__12620	0.347772748439536	0.2608042921645	0.304288520302018
s__Burkholderia_cepacia	DRR480285__12620	0.233895035105411	0.138525279854363	0.186210157479887
s__Roseibium_sp.	DRR480285__12620	0.307034090487006	0.247075806075988	0.277054948281497
s__Sinorhizobium_fredii	DRR480285__12620	0.348130262442917	0.322161246357411	0.335145754400164
s__Pseudomonas_chlororaphis	DRR480285__12620	0.288649526990553	0.249141412114213	0.268895469552383
s__Cedecea_neteri	DRR480285__12620	0.243994189094891	0.2503178493255	0.247156019210195
s__Enterobacter_cloacae	DRR480285__12620	0.151007875267433	0.110980065373117	0.130993970320275
s__Porphyromonas_asaccharolytica	DRR480285__12620	0.178991110104843	0.158955817033921	0.168973463569382
s__Segatella_oris	DRR480285__12620	0.180234847378586	0.112981846062882	0.146608346720734
s__Prevotella_fusca	DRR480285__12620	0.187370281887808	0.115264182327057	0.151317232107432
s__Prevotella_sp._E15-22	DRR480285__12620	0.22738433723517	0.170117835904068	0.198751086569619
s__Alistipes_onderdonkii	DRR480285__12620	0.17276638162464	0.20004068817121	0.186403534897925
s__Candidatus_Nanosynbacter_sp._HMT-352	DRR480285__12620	0.0910115302404582	0.0278854415985766	0.0594484859195174
s__Methanobrevibacter_smithii	DRR480285__12620	0.335100961863415	0.294039948840315	0.314570455351865
s__Candidatus_Poriferisocius_sp.	DRR480305__15088	-0.146376758828581	-0.178750477131678	-0.16256361798013
s__Candidatus_Poriferisodalis_sp.	DRR480305__15088	-0.0921191237620704	-0.150958709213539	-0.121538916487805
s__Propionibacterium_freudenreichii	DRR480305__15088	-0.103130198253398	-0.115565388632935	-0.109347793443166
s__Propionibacterium_acidifaciens	DRR480305__15088	-0.00476076487838353	-0.154576734475315	-0.0796687496768495
s__Streptomyces_canus	DRR480305__15088	-0.144427045667702	-0.111353024263425	-0.127890034965564
s__Streptomyces_venezuelae	DRR480305__15088	-0.110398808634624	-0.117202577133303	-0.113800692883964
s__Actinomyces_sp._HMT_175	DRR480305__15088	-0.110621181054221	-0.166728688311958	-0.13867493468309
s__Actinomyces_sp._oral_taxon_169	DRR480305__15088	-0.0659434190649381	-0.155890372381559	-0.110916895723249
s__Schaalia_turicensis	DRR480305__15088	-0.0906352046852222	-0.122947953864428	-0.106791579274825
s__Parascardovia_denticolens	DRR480305__15088	-0.0810530469187071	-0.202962116560072	-0.14200758173939
s__Bifidobacterium_lemurum	DRR480305__15088	-0.137927028962656	-0.236512361245965	-0.187219695104311
s__Bifidobacterium_choerinum	DRR480305__15088	-0.119001540681361	-0.20776917762716	-0.16338535915426
s__Bifidobacterium_subtile	DRR480305__15088	-0.11136591928428	-0.233442021895432	-0.172403970589856
s__Bifidobacterium_eulemuris	DRR480305__15088	-0.0512988324859392	-0.182925352501125	-0.117112092493532
s__Bifidobacterium_animalis	DRR480305__15088	-0.116526962219349	-0.0889496531914632	-0.102738307705406
s__Bifidobacterium_sp._ESL0790	DRR480305__15088	-0.13472872898114	-0.165430828947917	-0.150079778964528
s__Bifidobacterium_dentium	DRR480305__15088	-0.10269802250887	-0.261777247002673	-0.182237634755772
s__Leptogranulimonas_caecicola	DRR480305__15088	-0.101079198140953	-0.151517810761234	-0.126298504451094
s__Ndongobacter_massiliensis	DRR480305__15088	-0.0858553932585775	-0.154929321074684	-0.120392357166631
s__Peptoniphilus_equinus	DRR480305__15088	-0.0779922815494409	-0.11971220155831	-0.0988522415538755
s__Aedoeadaptatus_ivorii	DRR480305__15088	-0.110996042274841	-0.131609500023571	-0.121302771149206
s__Selenomonas_timonae	DRR480305__15088	-0.119344820858705	-0.0746484594815747	-0.09699664017014
s__Selenomonas_dianae	DRR480305__15088	-0.0516409828398619	-0.102483024592285	-0.0770620037160736
s__Veillonella_orientalis	DRR480305__15088	0.0756929969584687	-0.0154346991902474	0.0301291488841106
s__Veillonella_dispar	DRR480305__15088	0.0877659053667012	-0.0164537469578157	0.0356560792044427
s__Alicyclobacillus_acidocaldarius	DRR480305__15088	-0.116053715301158	-0.164831294458724	-0.140442504879941
s__Tumebacillus_avium	DRR480305__15088	-0.0633374345359558	-0.104351765622464	-0.08384460007921
s__Gemella_sanguinis	DRR480305__15088	0.0736219650894241	0.0562195414899156	0.0649207532896698
s__Thermobacillus_composti	DRR480305__15088	-0.104473684000299	-0.142819343128692	-0.123646513564496
s__Cohnella_sp._WGS1546	DRR480305__15088	-0.158678888098294	-0.175529993207967	-0.167104440653131
s__Cohnella_sp._LGH	DRR480305__15088	-0.110789996950084	-0.166438225837808	-0.138614111393946
s__Cohnella_candidum	DRR480305__15088	-0.113160780447185	-0.0715003536464099	-0.0923305670467975
s__Brevibacillus_composti	DRR480305__15088	-0.12891552818638	-0.115433590806541	-0.122174559496461
s__Paenibacillus_dendritiformis	DRR480305__15088	-0.0471141204266735	-0.129692958917875	-0.0884035396722744
s__Paenibacillus_sp._FSL_K6-1096	DRR480305__15088	-0.0993924984765472	-0.131821386130661	-0.115606942303604
s__Paenibacillus_albicereus	DRR480305__15088	-0.109498522149026	-0.110498254669182	-0.109998388409104
s__Paenibacillus_beijingensis	DRR480305__15088	-0.121148969946938	-0.14640595006408	-0.133777460005509
s__Paenibacillus_rhizovicinus	DRR480305__15088	-0.0804611083075219	-0.055491509439716	-0.0679763088736189
s__Paenibacillus_lycopersici	DRR480305__15088	-0.0458473785341219	-0.0910197505652609	-0.0684335645496914
s__Paenibacillus_elgii	DRR480305__15088	-0.101566867701204	-0.102105479868148	-0.101836173784676
s__Paenibacillus_konkukensis	DRR480305__15088	-0.0538752119868655	-0.13277588266512	-0.0933255473259929
s__Paenibacillus_thiaminolyticus	DRR480305__15088	-0.048326780144957	-0.118054362866747	-0.083190571505852
s__Paenibacillus_durus	DRR480305__15088	-0.0818734415283191	-0.126712194148751	-0.104292817838535
s__Paenibacillus_macerans	DRR480305__15088	-0.135253806770257	-0.159627814298436	-0.147440810534347
s__Paenibacillus_sp._32O-W	DRR480305__15088	-0.130516625836832	-0.143836667851455	-0.137176646844143
s__Paenibacillus_sp._RUD330	DRR480305__15088	-0.0969863851258213	-0.12131993958345	-0.109153162354636
s__Paenibacillus_sp._FSL_K6-1217	DRR480305__15088	-0.0113999395021054	-0.0101065842650239	-0.0107532618835646
s__Lacticaseibacillus_rhamnosus	DRR480305__15088	-0.167177104885569	-0.229023141796364	-0.198100123340966
s__Streptococcus_sp._HSISS3	DRR480305__15088	-0.0366881684553028	-0.107382452759763	-0.072035310607533
s__Streptococcus_sp._FSL_W7-1342	DRR480305__15088	-0.00170906446325115	-0.0443256760482055	-0.0230173702557283
s__Streptococcus_mutans	DRR480305__15088	-0.0432236423981877	-0.196175099286437	-0.119699370842313
s__Streptococcus_vestibularis	DRR480305__15088	0.0511901826962587	-0.117517804856979	-0.0331638110803601
s__Streptococcus_rubneri	DRR480305__15088	0.0306928963397429	-0.00826755163469	0.0112126723525265
s__Moorella_sp._Hama-1	DRR480305__15088	-0.108777689628875	-0.158229762265579	-0.133503725947227
s__Christensenella_sp._MSJ-20	DRR480305__15088	-0.138708484798579	-0.147216789574708	-0.142962637186643
s__Peptoclostridium_acidaminophilum	DRR480305__15088	-0.103794696917695	-0.100326020026609	-0.102060358472152
s__Caldinitratiruptor_microaerophilus	DRR480305__15088	-0.162508319565675	-0.163311773049647	-0.162910046307661
s__Desulfofundulus_kuznetsovii	DRR480305__15088	-0.16464839247706	-0.181953601795855	-0.173300997136457
s__Desulforamulus_ruminis	DRR480305__15088	-0.185435916884243	-0.180959581284494	-0.183197749084368
s__Candidatus_Formimonas_warabiya	DRR480305__15088	-0.14063324750712	-0.155090524824292	-0.147861886165706
s__Dehalobacter_restrictus	DRR480305__15088	-0.0935376640174304	-0.0799423919443873	-0.0867400279809088
s__Butyricicoccus_sp._GAM44	DRR480305__15088	0.21995657630688	0.328280039892395	0.274118308099638
s__Caproiciproducens_sp._NJN-50	DRR480305__15088	-0.148809243670027	-0.207127169001769	-0.177968206335898
s__Thermaerobacter_sp._PB12/4term	DRR480305__15088	-0.123745619511766	-0.153740362471553	-0.13874299099166
s__Alkalibacter_rhizosphaerae	DRR480305__15088	-0.119440231675781	-0.124073795502404	-0.121757013589093
s__Roseburia_faecis	DRR480305__15088	0.0919456184964297	0.308031675669771	0.1999886470831
s__Archangium_violaceum	DRR480305__15088	-0.137494060383994	-0.173554848584622	-0.155524454484308
s__Breznakiella_homolactica	DRR480305__15088	-0.113347884979804	-0.0791581380125004	-0.096253011496152
s__Treponema_brennaborense	DRR480305__15088	-0.134255106082348	-0.127411062546289	-0.130833084314319
s__Treponema_saccharophilum	DRR480305__15088	-0.0905863797122325	-0.106625998286673	-0.0986061889994525
s__Geotalea_uraniireducens	DRR480305__15088	-0.0958578059486573	-0.131107278268986	-0.113482542108822
s__Trichlorobacter_lovleyi	DRR480305__15088	-0.135217010568791	-0.0136323170423843	-0.0744246638055875
s__Solidesulfovibrio_carbinoliphilus	DRR480305__15088	-0.0735913622729121	-0.0942793633153856	-0.0839353627941489
s__Oceanidesulfovibrio_marinus	DRR480305__15088	-0.140616961945639	-0.128573780843986	-0.134595371394813
s__Megalodesulfovibrio_gigas	DRR480305__15088	-0.0902769475926204	-0.128992743605991	-0.109634845599306
s__Salidesulfovibrio_onnuriiensis	DRR480305__15088	-0.0965068548738702	-0.0555597732375346	-0.0760333140557024
s__Pseudodesulfovibrio_methanolicus	DRR480305__15088	-0.108646290479723	-0.110007700278457	-0.10932699537909
s__Pseudodesulfovibrio_mercurii	DRR480305__15088	-0.088272919390778	-0.0883008935888692	-0.0882869064898236
s__Pseudodesulfovibrio_tunisiensis	DRR480305__15088	-0.0989158588174184	-0.0717516941663119	-0.0853337764918652
s__Pseudodesulfovibrio_indicus	DRR480305__15088	-0.0991114355577226	-0.0936762597145095	-0.0963938476361161
s__Achromobacter_xylosoxidans	DRR480305__15088	-0.128893234513964	-0.124012139267761	-0.126452686890863
s__Oxalobacter_aliiformigenes	DRR480305__15088	0.0455332842892827	-0.0492519720595613	-0.0018593438851393
s__Ramlibacter_tataouinensis	DRR480305__15088	-0.107529630503152	-0.1287816312559	-0.118155630879526
s__Cupriavidus_taiwanensis	DRR480305__15088	-0.141160659296201	-0.126662784040394	-0.133911721668297
s__Cupriavidus_pauculus	DRR480305__15088	-0.0960842430888655	-0.0739563510070018	-0.0850202970479337
s__Burkholderia_cepacia	DRR480305__15088	-0.0532085183371971	-0.0161369431532528	-0.034672730745225
s__Roseibium_sp.	DRR480305__15088	-0.0487891887252697	0.0668892209041438	0.00905001608943703
s__Sinorhizobium_fredii	DRR480305__15088	-0.143171631126755	-0.0999205688727113	-0.121546099999733
s__Pseudomonas_chlororaphis	DRR480305__15088	-0.130275462645746	-0.115098765498279	-0.122687114072013
s__Cedecea_neteri	DRR480305__15088	-0.0827127288940159	-0.125085612474031	-0.103899170684024
s__Enterobacter_cloacae	DRR480305__15088	-0.022623061484114	-0.099491050872602	-0.061057056178358
s__Porphyromonas_asaccharolytica	DRR480305__15088	-0.00229498350107782	-0.109239923438547	-0.0557674534698123
s__Segatella_oris	DRR480305__15088	0.10580214987479	0.0794336407796681	0.092617895327229
s__Prevotella_fusca	DRR480305__15088	0.0988808194989757	0.131532449089214	0.115206634294095
s__Prevotella_sp._E15-22	DRR480305__15088	0.0856735923142231	0.110923728830969	0.098298660572596
s__Alistipes_onderdonkii	DRR480305__15088	0.0248992596524353	-0.0180395663137562	0.00342984666933957
s__Candidatus_Nanosynbacter_sp._HMT-352	DRR480305__15088	0.0843918597935776	0.178600038831586	0.131495949312582
s__Methanobrevibacter_smithii	DRR480305__15088	-0.0204955596658394	-0.14050459078436	-0.0805000752250999
s__Candidatus_Poriferisocius_sp.	DRR480324__6919	0.0577328255541535	0.0049380467786099	0.0313354361663817
s__Candidatus_Poriferisodalis_sp.	DRR480324__6919	0.0743413954528897	0.0447249677045917	0.0595331815787407
s__Propionibacterium_freudenreichii	DRR480324__6919	0.0189297257237774	0.0611852217643975	0.0400574737440874
s__Propionibacterium_acidifaciens	DRR480324__6919	0.0539292425152	0.0303084982318862	0.0421188703735431
s__Streptomyces_canus	DRR480324__6919	0.0468471271819109	0.0251815557778158	0.0360143414798633
s__Streptomyces_venezuelae	DRR480324__6919	0.122601946357623	0.0529478781795079	0.0877749122685657
s__Actinomyces_sp._HMT_175	DRR480324__6919	-0.067358798680204	-0.171079594742627	-0.119219196711416
s__Actinomyces_sp._oral_taxon_169	DRR480324__6919	-0.0644706624800414	-0.147269599737446	-0.105870131108744
s__Schaalia_turicensis	DRR480324__6919	0.00889109951977978	-0.0746208014408868	-0.0328648509605535
s__Parascardovia_denticolens	DRR480324__6919	0.00256841131020999	-0.103487170665561	-0.0504593796776753
s__Bifidobacterium_lemurum	DRR480324__6919	0.0478641550523242	-0.0733933619287309	-0.0127646034382034
s__Bifidobacterium_choerinum	DRR480324__6919	0.0482889455719368	-0.0268661114570422	0.0107114170574473
s__Bifidobacterium_subtile	DRR480324__6919	0.0662354634637616	-0.0457559692460616	0.01023974710885
s__Bifidobacterium_eulemuris	DRR480324__6919	0.093649114412869	-0.0478062276112519	0.0229214434008085
s__Bifidobacterium_animalis	DRR480324__6919	0.094865567848237	0.00954860183333426	0.0522070848407856
s__Bifidobacterium_sp._ESL0790	DRR480324__6919	6.90290257631142e-05	-0.0139006096378729	-0.00691579030605487
s__Bifidobacterium_dentium	DRR480324__6919	0.0437427415766539	-0.0442424384797792	-0.000249848451562645
s__Leptogranulimonas_caecicola	DRR480324__6919	0.11417705391421	0.00374130830391602	0.0589591811090628
s__Ndongobacter_massiliensis	DRR480324__6919	0.0404559259818242	0.0304936346663685	0.0354747803240963
s__Peptoniphilus_equinus	DRR480324__6919	0.0936312598817738	0.00849376826403397	0.0510625140729039
s__Aedoeadaptatus_ivorii	DRR480324__6919	0.0562825981218915	0.0241562198695541	0.0402194089957228
s__Selenomonas_timonae	DRR480324__6919	0.112936256570958	0.0531165902608941	0.0830264234159262
s__Selenomonas_dianae	DRR480324__6919	0.122881197880961	0.0260042424477467	0.0744427201643537
s__Veillonella_orientalis	DRR480324__6919	0.133251154224065	0.210504798564244	0.171877976394155
s__Veillonella_dispar	DRR480324__6919	0.110848494375673	0.188337088651883	0.149592791513778
s__Alicyclobacillus_acidocaldarius	DRR480324__6919	0.0312939651473808	0.00994430178555144	0.0206191334664661
s__Tumebacillus_avium	DRR480324__6919	0.129174402077902	0.108919755512706	0.119047078795304
s__Gemella_sanguinis	DRR480324__6919	0.0408098800810452	0.0632190374914569	0.0520144587862511
s__Thermobacillus_composti	DRR480324__6919	0.0897441312104205	0.0511547446825961	0.0704494379465083
s__Cohnella_sp._WGS1546	DRR480324__6919	0.0790633450451757	-0.0156158179777135	0.0317237635337311
s__Cohnella_sp._LGH	DRR480324__6919	0.0570796945464012	0.0271800616412814	0.0421298780938413
s__Cohnella_candidum	DRR480324__6919	0.0484982524578327	0.0441739274378123	0.0463360899478225
s__Brevibacillus_composti	DRR480324__6919	0.0281069285556884	-0.0264192379863825	0.000843845284652932
s__Paenibacillus_dendritiformis	DRR480324__6919	0.0869176566032491	0.00754470316450952	0.0472311798838793
s__Paenibacillus_sp._FSL_K6-1096	DRR480324__6919	0.0474662781262031	-0.0336637782481527	0.00690124993902522
s__Paenibacillus_albicereus	DRR480324__6919	0.0308271024069188	-0.0206984999975828	0.00506430120466798
s__Paenibacillus_beijingensis	DRR480324__6919	0.0434863175859706	0.0129998826122508	0.0282431000991107
s__Paenibacillus_rhizovicinus	DRR480324__6919	0.0105456706028806	0.0233884787577379	0.0169670746803093
s__Paenibacillus_lycopersici	DRR480324__6919	0.115351344247302	0.0651839255381036	0.090267634892703
s__Paenibacillus_elgii	DRR480324__6919	0.0677093892006786	0.0746373800916588	0.0711733846461687
s__Paenibacillus_konkukensis	DRR480324__6919	0.0449308269964869	0.0096709265705976	0.0273008767835423
s__Paenibacillus_thiaminolyticus	DRR480324__6919	0.0793858763694525	0.0310576392446374	0.0552217578070449
s__Paenibacillus_durus	DRR480324__6919	0.00353122589951283	-0.0391836567781783	-0.0178262154393327
s__Paenibacillus_macerans	DRR480324__6919	0.0688314942562112	0.0131984155024651	0.0410149548793381
s__Paenibacillus_sp._32O-W	DRR480324__6919	0.0678098865496262	0.00542046398300067	0.0366151752663134
s__Paenibacillus_sp._RUD330	DRR480324__6919	0.0749896341733888	0.0468285326955995	0.0609090834344942
s__Paenibacillus_sp._FSL_K6-1217	DRR480324__6919	0.161578230557743	0.0965683750048334	0.129073302781288
s__Lacticaseibacillus_rhamnosus	DRR480324__6919	-0.0282297633121452	-0.165430198343398	-0.0968299808277714
s__Streptococcus_sp._HSISS3	DRR480324__6919	-0.0146837310938662	-0.0338676633753175	-0.0242756972345919
s__Streptococcus_sp._FSL_W7-1342	DRR480324__6919	0.0124389845714643	0.0490792149403416	0.0307590997559029
s__Streptococcus_mutans	DRR480324__6919	0.0560998629324335	-0.0493104431679045	0.0033947098822645
s__Streptococcus_vestibularis	DRR480324__6919	0.0286539813817587	-0.0341703460979259	-0.00275818235808359
s__Streptococcus_rubneri	DRR480324__6919	0.0235653355006245	0.0797894112659431	0.0516773733832838
s__Moorella_sp._Hama-1	DRR480324__6919	0.0328411066365131	-0.00433640958444792	0.0142523485260326
s__Christensenella_sp._MSJ-20	DRR480324__6919	0.141335909153652	-0.0204724841601721	0.0604317124967401
s__Peptoclostridium_acidaminophilum	DRR480324__6919	-0.0460726853417941	0.0120712494144247	-0.0170007179636847
s__Caldinitratiruptor_microaerophilus	DRR480324__6919	0.0188412894340062	0.0384933546836701	0.0286673220588381
s__Desulfofundulus_kuznetsovii	DRR480324__6919	0.0163156910330539	-0.0208655290844072	-0.00227491902567663
s__Desulforamulus_ruminis	DRR480324__6919	0.0294549338330742	-0.0508294699470665	-0.0106872680569961
s__Candidatus_Formimonas_warabiya	DRR480324__6919	-0.0487130513332815	-0.0445854311324171	-0.0466492412328493
s__Dehalobacter_restrictus	DRR480324__6919	0.141736325698293	0.0368052644469956	0.0892707950726443
s__Butyricicoccus_sp._GAM44	DRR480324__6919	0.210636072708039	0.236710272979063	0.223673172843551
s__Caproiciproducens_sp._NJN-50	DRR480324__6919	0.0332377226570861	-0.0107005893022413	0.0112685666774224
s__Thermaerobacter_sp._PB12/4term	DRR480324__6919	0.0566040597198135	0.0284048146433238	0.0425044371815686
s__Alkalibacter_rhizosphaerae	DRR480324__6919	0.0503417808426098	0.00117171224071338	0.0257567465416616
s__Roseburia_faecis	DRR480324__6919	0.226266842631766	0.374400600806141	0.300333721718953
s__Archangium_violaceum	DRR480324__6919	0.0866290608122382	-0.0102019535339417	0.0382135536391482
s__Breznakiella_homolactica	DRR480324__6919	0.0649029416685552	0.0512442699141101	0.0580736057913326
s__Treponema_brennaborense	DRR480324__6919	0.0137804821093709	0.0265966982324316	0.0201885901709012
s__Treponema_saccharophilum	DRR480324__6919	0.137369173902846	0.0627474588219416	0.100058316362394
s__Geotalea_uraniireducens	DRR480324__6919	0.0492646756023824	-0.00227773940318148	0.0234934680996005
s__Trichlorobacter_lovleyi	DRR480324__6919	0.0422729464084076	0.00115510142359912	0.0217140239160034
