"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_dispar"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_flocculare"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_neurolyticum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_moatsii"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_bovoculi"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_hyopneumoniae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_conjunctivae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__[Mycoplasma]_mobile"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_molare"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_lagogenitalium"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_hyorhinis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mesomycoplasma","s__Mesomycoplasma_ovipneumoniae"
